regiao,nome_vendedor,nome_produto,total_vendas_brl,quantidade_vendida
Centro-Oeste,Heloísa Britto,Chaleira Elétrica,2413009.85,360
Centro-Oeste,Caio Mendes,Vaso Sanitário com Caixa Acoplada,2269132.48,207
Centro-Oeste,Heloísa Britto,Ventilador de Torre,2209578.43,229
Centro-Oeste,Bruna Lima,Roteador Wi-Fi 6,2193274.38,567
Centro-Oeste,Bruna Lima,Mesa de Jantar 4 Cadeiras,2133323.56,739
Centro-Oeste,Fernanda Silveira,Ventilador de Torre,2124297.15,205
Centro-Oeste,Elias Barbosa,Batedeira Planetária,2042658.19,225
Centro-Oeste,Igor Carvalho,Vaso Sanitário com Caixa Acoplada,2000816.2,177
Centro-Oeste,Fernanda Silveira,Pistola de Pintura Elétrica,1979278.19,215
Centro-Oeste,Guilherme Alves,Ventilador de Torre,1951811.16,184
Centro-Oeste,Guilherme Alves,Saco de Dormir Ultraleve,1877167.53,202
Centro-Oeste,Janaína Dantas,Vaso Sanitário com Caixa Acoplada,1833417.96,172
Centro-Oeste,Denise Ramos,Tapete Geométrico,1810662.65,297
Centro-Oeste,Denise Ramos,Abajur de Chão Decorativo,1794213.65,208
Centro-Oeste,Igor Carvalho,Cama Box Queen Size,1777018.46,342
Centro-Oeste,Denise Ramos,Sanduicheira Elétrica,1613527.1,284
Centro-Oeste,Guilherme Alves,Vaso Sanitário com Caixa Acoplada,1602184.06,134
Centro-Oeste,Igor Carvalho,Pistola de Pintura Elétrica,1587778.55,163
Centro-Oeste,Heloísa Britto,Luvas de Proteção Moto,1585955.1,380
Centro-Oeste,Kleber Esteves,Ventilador de Torre,1582112.85,159
Centro-Oeste,Kleber Esteves,Chaleira Elétrica,1569970.39,230
Centro-Oeste,Guilherme Alves,Bússola Profissional,1567512.3599999999,1437
Centro-Oeste,Elias Barbosa,Serra Elétrica Circular,1567087.71,341
Centro-Oeste,Bruna Lima,Fechadura Digital Biométrica,1559057.8,337
Centro-Oeste,Denise Ramos,Roteador Wi-Fi 6,1542373.6099999999,420
Centro-Oeste,Elias Barbosa,Ventilador de Torre,1508660.1,133
Centro-Oeste,Kleber Esteves,Serra Elétrica Circular,1506521.49,278
Centro-Oeste,Denise Ramos,Echo Dot 4ª Geração,1503399.52,473
Centro-Oeste,Kleber Esteves,Bicicleta Ergométrica,1455975.1,145
Centro-Oeste,Caio Mendes,Serra Elétrica Circular,1450044.22,285
Centro-Oeste,Kleber Esteves,Cafeteira Expresso,1437247.94,328
Centro-Oeste,Janaína Dantas,Motor de Popa,1427955.17,186
Centro-Oeste,Heloísa Britto,Bicicleta Ergométrica,1423163.27,167
Centro-Oeste,Denise Ramos,Lanterna Tática LED,1422577.93,662
Centro-Oeste,Elias Barbosa,Calça Jeans Motoqueiro,1420401.3699999999,199
Centro-Oeste,Guilherme Alves,Cafeteira Expresso,1417034.77,273
Centro-Oeste,Denise Ramos,Vaso Sanitário com Caixa Acoplada,1409807.49,121
Centro-Oeste,Janaína Dantas,Serra Elétrica Circular,1403786.29,245
Centro-Oeste,Janaína Dantas,Abajur de Chão Decorativo,1398199.1300000001,157
Centro-Oeste,Guilherme Alves,Aspirador de Água e Pó,1397265.91,289
Centro-Oeste,Igor Carvalho,Abajur de Chão Decorativo,1391989.92,159
Centro-Oeste,Denise Ramos,Ventilador de Torre,1390737.9,120
Centro-Oeste,Elias Barbosa,GPS Automotivo,1389269.51,313
